setNum;name_en;name_de;year;recommendedRetailPrice €
3942;Heartlake Dog Show;LEGO® Friends 3942 Die große Hundeschau;2012;19.99
4181;Isla De Muerta;LEGO® Pirates of the Caribbean 4181 Isla de la Muerta;2011;26.99
4191;The Captain's Cabin;LEGO® Pirates of the Caribbean 4191 Captain's Cabin;2011;14.99
4192;Fountain of Youth;LEGO® Pirates of the Caribbean 4192 Quelle der ewigen Jugend;2011;26.99
4193;The London Escape;LEGO® Pirates of the Caribbean 4193 Flucht aus London;2011;59.99
4194;Whitecap Bay;LEGO® Pirates of the Caribbean 4194 Whitecap Bay;2011;89.99
4195;Queen Anne's Revenge;LEGO® Pirates of the Caribbean 4195 Queen Anne's Revenge;2011;129.99
4201;Loader and Tipper;LEGO® City 4201 Bagger mit Kipplaster;2012;14.99
4204;The Mine;LEGO® City 4204 Bergwerk;2012;79.99
4428;Advent Calendar 2012;LEGO® 4428 LEGO® City Adventskalender;2012;19.99
4429;Helicopter Rescue;LEGO® City 4429 Helikopter Rettungsbasis;2012;49.99
4430;Mobile Fire Command Center;LEGO® City 4430 Mobile Feuerwehrzentrale;2012;49.99
4431;Ambulance;LEGO® City 4431 Krankenwagen;2012;19.99
4432;Garbage Truck;LEGO® City 4432 Garbage Truck;2012;19.99
4433;Dirt Bike Transporter;LEGO® City 4433 Dirt Bike Transporter;2012;19.99
4434;Tipper Truck;LEGO® City 4434 Dump Truck;2012;19.99
4435;Car and Caravan;LEGO® City 4435 Campingwagen;2012;19.99
4436;Patrol Car;LEGO® City 4436 Streifenwagen;2012;9.99
4437;Police Pursuit;LEGO® City 4437 Verfolgung im Gelände;2012;14.99
4438;Robbers' Hideout;LEGO® City 4438 Robbers' Hideout;2012;39.99
4439;Heavy-Duty Helicopter;LEGO® City 4439 Hubschrauber mit Doppelrotor;2012;39.99
4440;Forest Police Station;LEGO® City 4440 Forest Police Station;2012;69.99
4441;Police Dog Van;LEGO® City 4441 Police Dog Van;2012;29.99
4527;The Joker;LEGO® Super Heroes 4527 The Joker;2012;14.99
4528;Green Lantern;LEGO® Super Heroes 4528 Green Lantern;2012;14.99
4529;Iron Man;LEGO® Super Heroes 4529 Iron Man;2012;14.99
4597;Captain America;LEGO® Super Heroes 4597 Captain America;2012;14.99
4623;Pink Brick Box;LEGO® Duplo 4623 Mädchen-Steinebox;2012;17.99
4624;Brick Box;LEGO® Duplo 4624 Steinebox;2012;17.99
4625;Pink Brick Box;LEGO® Bricks and More 4625 Mädchen-Steinebox;2012;17.99
4626;Farm Brick Box;LEGO® Bricks and More 4626 Steinebox;2012;17.99
4627;Fun With Bricks;LEGO® Duplo 4627 Bauspaß Set;2012;24.99
4628;Fun with Bricks;LEGO® Bricks and More 4628 Bauspaß Set;2012;24.99
4629;Build and Play Box;LEGO® Duplo 4629 Build & Play Box;2012;39.99
4630;Build and Play Box;LEGO® Bricks and More 4630 LEGO® Bau- und Spielkiste;2012;39.99
4631;My First Build;LEGO® Duplo 4631 Bau-Lernspiel;2012;24.99
4632;Building Plates;LEGO® Duplo 4632 Bauplatten-Set;2012;9.99
4635;Fun with Vehicles;LEGO® Bricks and More 4635 Bausteine Fahrzeuge;2012;29.99
4637;Safari Building Set;LEGO® Bricks and More 4637 Safari Building Set;2012;7.99
4641;Speed Boat;LEGO® City 4641 Speedboat;2011;4.99
4642;Fishing Boat;LEGO® City 4642 Fischerboot;2011;14.99
4643;Power Boat Transporter;LEGO® City 4643 Power Boat Transporter;2011;19.99
